# English|Svenska|Dansk|Norsk bokmål|Deutsch
{count} train movements|{count} tågrörelser|{count} togbevægelser|{count} togbevegelser|{count} Zugbewegungen
Save draft|Spara utkast|Gem kladde|Lagre utkast|Entwurf speichern
Save|Spara|Gem|Lagre|Speichern
Saved|Sparat|Gemt|Lagret|Gespeichert
Cancel|Avbryt|Annuller|Avbryt|Abbrechen
Close|Stäng|Luk|Lukk|Schließen
Back|Tillbaka|Tilbage|Tilbake|Zurück
Continue|Fortsätt|Fortsæt|Fortsett|Weiter
Next|Nästa|Næste|Neste|Weiter
Add|Lägg till|Tilføj|Legg til|Hinzufügen
Remove|Ta bort|Fjern|Fjern|Entfernen
Delete|Radera|Slet|Slett|Löschen
Edit|Redigera|Rediger|Rediger|Bearbeiten
Copy|Kopiera|Kopiér|Kopier|Kopieren
Copied|Kopierat|Kopieret|Kopiert|Kopiert
Open|Öppna|Åbn|Åpne|Öffnen
Search|Sök|Søg|Søk|Suchen
Refresh|Uppdatera|Opdater|Oppdater|Aktualisieren
Check|Kontrollera|Kontrollér|Kontroller|Prüfen
Confirm|Bekräfta|Bekræft|Bekreft|Bestätigen
Connect|Anslut|Tilslut|Koble til|Verbinden
Connected|Ansluten|Tilsluttet|Tilkoblet|Verbunden
Not connected|Ej ansluten|Ikke tilsluttet|Ikke tilkoblet|Nicht verbunden
Offline|Offline|Offline|Frakoblet|Offline
Linked|Kopplad|Forbundet|Tilkoblet|Verknüpft
Not linked|Inte kopplad|Ikke forbundet|Ikke tilkoblet|Nicht verknüpft
Connecting…|Ansluter…|Tilslutter…|Kobler til…|Verbindung wird hergestellt…
Connecting …|Kopplar …|Forbinder …|Kobler til …|Verbindung wird hergestellt …
Connection failed|Kopplingen misslyckades|Forbindelsen mislykkedes|Tilkoblingen mislyktes|Verbindung fehlgeschlagen
Name|Namn|Navn|Navn|Name
Your name|Ditt namn|Dit navn|Ditt navn|Dein Name
Username|Användarnamn|Brugernavn|Brukernavn|Benutzername
Email address|E-postadress|E-mailadresse|E-postadresse|E-Mail-Adresse
Email address or username|E-postadress eller användarnamn|E-mailadresse eller brugernavn|E-postadresse eller brukernavn|E-Mail-Adresse oder Benutzername
Password|Lösenord|Adgangskode|Passord|Passwort
Repeat password|Upprepa lösenordet|Gentag adgangskoden|Gjenta passordet|Passwort wiederholen
New password|Nytt lösenord|Ny adgangskode|Nytt passord|Neues Passwort
Change password|Ändra lösenord|Skift adgangskode|Endre passord|Passwort ändern
Save password|Spara lösenordet|Gem adgangskoden|Lagre passordet|Passwort speichern
Sign in|Logga in|Log ind|Logg inn|Anmelden
Sign out|Logga ut|Log ud|Logg ut|Abmelden
Forgot password|Glömt lösenordet|Glemt adgangskoden|Glemt passordet|Passwort vergessen
Forgot password?|Glömt lösenordet?|Glemt adgangskoden?|Glemt passordet?|Passwort vergessen?
Create account|Skapa konto|Opret konto|Opprett konto|Konto erstellen
Create your account|Skapa ditt konto|Opret din konto|Opprett kontoen din|Dein Konto erstellen
Create the account|Skapa kontot|Opret kontoen|Opprett kontoen|Konto erstellen
Create first administrator|Skapa första administratören|Opret den første administrator|Opprett første administrator|Ersten Administrator anlegen
Create and continue|Skapa och fortsätt|Opret og fortsæt|Opprett og fortsett|Erstellen und fortfahren
First installation|Första installationen|Første installation|Første installasjon|Erstinstallation
Organization|Organisation|Organisation|Organisasjon|Organisation
Role|Roll|Rolle|Rolle|Rolle
Administrator|Administratör|Administrator|Administrator|Administrator
Owner|Ägare|Ejer|Eier|Eigentümer
Member|Medlem|Medlem|Medlem|Mitglied
Active|Aktiv|Aktiv|Aktiv|Aktiv
Inactive|Inaktiv|Inaktiv|Inaktiv|Inaktiv
Invite|Bjud in|Inviter|Inviter|Einladen
Add a user|Lägg till en användare|Tilføj en bruger|Legg til en bruker|Benutzer hinzufügen
Send invitation|Skicka inbjudan|Send invitation|Send invitasjon|Einladung senden
Users and permissions|Användare och behörighet|Brugere og rettigheder|Brukere og tilganger|Benutzer und Berechtigungen
Send reset link|Skicka återställningslänk|Send nulstillingslink|Send lenke for tilbakestilling|Link zum Zurücksetzen senden
Back to sign in|Tillbaka till inloggningen|Tilbage til login|Tilbake til innlogging|Zurück zur Anmeldung
Go to sign in|Till inloggningen|Til login|Til innlogging|Zur Anmeldung
Choose a new password|Välj ett nytt lösenord|Vælg en ny adgangskode|Velg et nytt passord|Neues Passwort wählen
Passwords do not match.|Lösenorden är inte lika.|Adgangskoderne er ikke ens.|Passordene er ikke like.|Die Passwörter stimmen nicht überein.
At least 6 characters.|Minst 6 tecken.|Mindst 6 tegn.|Minst 6 tegn.|Mindestens 6 Zeichen.
At least 6 characters. No default account is created.|Minst 6 tecken. Inget standardkonto skapas.|Mindst 6 tegn. Der oprettes ingen standardkonto.|Minst 6 tegn. Ingen standardkonto opprettes.|Mindestens 6 Zeichen. Es wird kein Standardkonto angelegt.
Sign-in failed|Inloggningen misslyckades|Login mislykkedes|Innlogging mislyktes|Anmeldung fehlgeschlagen
Action failed|Åtgärden misslyckades|Handlingen mislykkedes|Handlingen mislyktes|Aktion fehlgeschlagen
Something went wrong|Det gick inte|Det mislykkedes|Det gikk ikke|Vorgang fehlgeschlagen
One moment…|Ett ögonblick…|Et øjeblik…|Et øyeblikk…|Einen Moment…
Starting TrainMeet Cloud…|Startar TrainMeet Cloud…|Starter TrainMeet Cloud…|Starter TrainMeet Cloud…|TrainMeet Cloud wird gestartet…
TrainMeet Cloud is private and requires an administrator account.|TrainMeet Cloud är privat och kräver administratörskonto.|TrainMeet Cloud er privat og kræver en administratorkonto.|TrainMeet Cloud er privat og krever en administratorkonto.|TrainMeet Cloud ist privat und erfordert ein Administratorkonto.
Cloud starts empty. Create the account that can build and publish meets.|Cloud startar helt tomt. Skapa kontot som får bygga och publicera träffar.|Cloud starter tomt. Opret kontoen, der kan opbygge og udgive træf.|Cloud starter tomt. Opprett kontoen som kan bygge og publisere treff.|Cloud startet leer. Erstelle das Konto, das Treffen aufbauen und veröffentlichen darf.
The change has been saved.|Ändringen är sparad.|Ændringen er gemt.|Endringen er lagret.|Die Änderung wurde gespeichert.
Settings have been saved.|Inställningarna är sparade.|Indstillingerne er gemt.|Innstillingene er lagret.|Die Einstellungen wurden gespeichert.
Changes have been published.|Ändringarna är publicerade.|Ændringerne er udgivet.|Endringene er publisert.|Die Änderungen wurden veröffentlicht.
No changes since the last version.|Inga ändringar sedan senaste versionen.|Ingen ændringer siden sidste version.|Ingen endringer siden forrige versjon.|Keine Änderungen seit der letzten Version.
AI ready|AI klar|AI klar|KI klar|KI bereit
AI missing|AI saknas|AI mangler|KI mangler|KI fehlt
Open menu|Öppna meny|Åbn menu|Åpne meny|Menü öffnen
Close menu|Stäng meny|Luk menu|Lukk meny|Menü schließen
Station|Station|Station|Stasjon|Betriebsstelle
Stations|Stationer|Stationer|Stasjoner|Betriebsstellen
Station code|Stationskod|Stationskode|Stasjonskode|Betriebsstellenkürzel
Station aliases|Stationsalias|Stationsaliaser|Stasjonsaliaser|Aliasnamen
Edit station|Redigera station|Rediger station|Rediger stasjon|Betriebsstelle bearbeiten
New alias|Nytt alias|Nyt alias|Nytt alias|Neuer Aliasname
Existing aliases|Befintliga alias|Eksisterende aliaser|Eksisterende aliaser|Vorhandene Aliasnamen
Alternative name|Alternativt namn|Alternativt navn|Alternativt navn|Alternativer Name
No aliases yet|Inga alias ännu|Ingen aliaser endnu|Ingen aliaser ennå|Noch keine Aliasnamen
Optional|Valfritt|Valgfrit|Valgfritt|Optional
From|Från|Fra|Fra|Von
To|Till|Til|Til|Nach
Train|Tåg|Tog|Tog|Zug
Train number|Tågnummer|Tognummer|Tognummer|Zugnummer
Track|Spår|Spor|Spor|Gleis
Arrival|Ankomst|Ankomst|Ankomst|Ankunft
Departure|Avgång|Afgang|Avgang|Abfahrt
Arr|Ank|Ank|Ank|Ank
Dep|Avg|Afg|Avg|Abf
Time|Tid|Tid|Tid|Zeit
Days|Dagar|Dage|Dager|Tage
Day|Dag|Dag|Dag|Tag
Date|Datum|Dato|Dato|Datum
Status|Status|Status|Status|Status
Direction|Riktning|Retning|Retning|Richtung
All|Alla|Alle|Alle|Alle
No results|Inga resultat|Ingen resultater|Ingen resultater|Keine Ergebnisse
No trains|Inga tåg|Ingen tog|Ingen tog|Keine Züge
Single track|Enkelspår|Enkeltspor|Enkeltspor|Eingleisig
Double track|Dubbelspår|Dobbeltspor|Dobbeltspor|Zweigleisig
single track|enkelspår|enkeltspor|enkeltspor|eingleisig
double track|dubbelspår|dobbeltspor|dobbeltspor|zweigleisig
Left|Vänster|Venstre|Venstre|Links
Right|Höger|Højre|Høyre|Rechts
Free port|Ledig port|Ledig port|Ledig port|Freier Anschluss
Free|Ledig|Ledig|Ledig|Frei
Left · upper|Vänster · övre|Venstre · øverst|Venstre · øvre|Links · oben
Left · lower|Vänster · nedre|Venstre · nederst|Venstre · nedre|Links · unten
Right · upper|Höger · övre|Højre · øverst|Høyre · øvre|Rechts · oben
Right · lower|Höger · nedre|Højre · nederst|Høyre · nedre|Rechts · unten
Import files|Importera filer|Importer filer|Importer filer|Dateien importieren
Upload|Ladda upp|Upload|Last opp|Hochladen
Source files|Källfiler|Kildefiler|Kildefiler|Quelldateien
No file selected|Ingen fil vald|Ingen fil valgt|Ingen fil valgt|Keine Datei ausgewählt
Approve and import|Bekräfta och för in|Bekræft og importer|Bekreft og importer|Bestätigen und importieren
Interpret again|Gör om tolkningen|Fortolk igen|Tolk på nytt|Erneut auswerten
Review|Granska|Gennemgå|Gjennomgå|Prüfen
Publish|Publicera|Udgiv|Publiser|Veröffentlichen
Version|Version|Version|Versjon|Version
Connection code|Anslutningskod|Tilslutningskode|Tilkoblingskode|Verbindungscode
Valid for (days)|Giltig i (dagar)|Gyldig i (dage)|Gyldig i (dager)|Gültig für (Tage)
New connection code|Ny anslutningskod|Ny tilslutningskode|Ny tilkoblingskode|Neuer Verbindungscode
Cloud settings|Cloud-inställningar|Cloud-indstillinger|Cloud-innstillinger|Cloud-Einstellungen
Server name|Servernamn|Servernavn|Servernavn|Servername
Server address|Serveradress|Serveradresse|Serveradresse|Serveradresse
Local server|Lokal server|Lokal server|Lokal server|Lokaler Server
No server is linked|Ingen server är kopplad|Ingen server er forbundet|Ingen server er tilkoblet|Kein Server verknüpft
Software update|Programuppdatering|Programopdatering|Programvareoppdatering|Softwareaktualisierung
Check for updates|Sök efter uppdatering|Søg efter opdatering|Se etter oppdateringer|Nach Updates suchen
Installed version|Installerad version|Installeret version|Installert versjon|Installierte Version
Available version|Tillgänglig version|Tilgængelig version|Tilgjengelig versjon|Verfügbare Version
Update TrainMeet Server|Uppdatera TrainMeet Server|Opdater TrainMeet Server|Oppdater TrainMeet Server|TrainMeet Server aktualisieren
Channel|Kanal|Kanal|Kanal|Kanal
Backup|Säkerhetskopia|Sikkerhedskopi|Sikkerhetskopi|Sicherung
Reset|Nollställ|Nulstil|Nullstill|Zurücksetzen
Restore|Återställ|Gendan|Gjenopprett|Wiederherstellen
Traffic|Trafik|Trafik|Trafikk|Betrieb
Displays|Skärmar|Skærme|Skjermer|Anzeigen
Meet clock|Träffklocka|Træfur|Treffklokke|Modellzeituhr
Control the clock|Styr klockan|Styr uret|Styr klokken|Uhr steuern
Speed|Hastighet|Hastighed|Hastighet|Geschwindigkeit
Time of day|Klockslag|Klokkeslæt|Klokkeslett|Uhrzeit
Stopped|Stoppad|Stoppet|Stoppet|Angehalten
Set and start|Ställ och starta|Indstil og start|Still og start|Einstellen und starten
Stop|Stoppa|Stop|Stopp|Anhalten
Start|Starta|Start|Start|Starten
Ready|Klar|Klar|Klar|Bereit
Train ready|Tåg klart|Tog klar|Tog klart|Zug bereit
Request train|Begär tåg|Anmod om tog|Be om tog|Zug anbieten
Departed|Avgått|Afgået|Avgått|Abgefahren
Arrived|Ankommit|Ankommet|Ankommet|Angekommen
Train out|Tåg ut|Tog ude|Tog ut|Zug abgefahren
Train in|Tåg in|Tog inde|Tog inn|Zug angekommen
Choose station|Välj station|Vælg station|Velg stasjon|Betriebsstelle auswählen
Choose server|Välj server|Vælg server|Velg server|Server auswählen
Start shift|Starta trafikpass|Start vagt|Start vakt|Dienst beginnen
Finish shift|Avsluta trafikpass|Afslut vagt|Avslutt vakt|Dienst beenden
Handover|Lämna över|Overdrag|Overlever|Übergeben
Portrait|Stående|Stående|Stående|Hochformat
Landscape|Liggande|Liggende|Liggende|Querformat
Orientation|Orientering|Orientering|Retning|Ausrichtung
Terminal name|Terminalnamn|Terminalnavn|Terminalnavn|Terminalname
Connection|Anslutning|Forbindelse|Tilkobling|Verbindung
Network|Nätverk|Netværk|Nettverk|Netzwerk
Connect to server|Anslut till server|Tilslut til server|Koble til server|Mit Server verbinden
Local operations|Lokal drift|Lokal drift|Lokal drift|Lokaler Betrieb
Dispatcher|Dispatcher|Dispatcher|Dispatcher|Dispatcher
Conductor|Conductor|Conductor|Conductor|Conductor
Server|Server|Server|Server|Server
Operating views|Driftvyer|Driftsvisninger|Driftsvisninger|Betriebsansichten
Connecting to the local TrainMeet Server…|Ansluter till lokal TrainMeet Server…|Tilslutter til lokal TrainMeet Server…|Kobler til lokal TrainMeet Server…|Verbindung zum lokalen TrainMeet Server wird hergestellt…
Model railroad test profile · reported positions, never simulated movement|Modelljärnvägens testprofil · rapporterade positioner, aldrig simulerad rörelse|Modelbanens testprofil · rapporterede positioner, aldrig simuleret bevægelse|Modelljernbanens testprofil · rapporterte posisjoner, aldri simulert bevegelse|Modellbahn-Testprofil · gemeldete Positionen, keine simulierte Bewegung
● Server connected|● Server ansluten|● Server tilsluttet|● Server tilkoblet|● Server verbunden
● Offline · stale state|● Offline · tidigare läge|● Offline · tidligere tilstand|● Frakoblet · tidligere tilstand|● Offline · veralteter Stand
Draft|Utkast|Kladde|Utkast|Entwurf
Sent · not valid|Skickad · inte giltig|Sendt · ikke gyldig|Sendt · ikke gyldig|Gesendet · nicht gültig
Received · not valid|Mottagen · inte giltig|Modtaget · ikke gyldig|Mottatt · ikke gyldig|Empfangen · nicht gültig
Verify readback|Kontrollera återläsning|Kontrollér gentagelse|Kontroller tilbakelesning|Rücklesen prüfen
Active authority|Aktivt körtillstånd|Aktiv køretilladelse|Aktiv kjøretillatelse|Aktive Fahrberechtigung
Release requested|Frigivning begärd|Frigivelse anmodet|Frigivelse forespurt|Freigabe angefordert
Closed|Avslutad|Afsluttet|Avsluttet|Abgeschlossen
Void|Ogiltigförklara|Annuller|Annuller|Ungültig erklären
Check result|Kontrollera resultat|Kontrollér resultat|Kontroller resultat|Ergebnis prüfen
Server rejected the request|Servern avvisade begäran|Serveren afviste anmodningen|Serveren avviste forespørselen|Server hat die Anfrage abgelehnt
Command result is unconfirmed. No further operational actions are allowed until it is checked.|Kommandots resultat är obekräftat. Inga fler trafikåtgärder tillåts innan det har kontrollerats.|Kommandoens resultat er ubekræftet. Ingen flere driftshandlinger er tilladt, før det er kontrolleret.|Kommandoresultatet er ubekreftet. Ingen flere driftshandlinger er tillatt før det er kontrollert.|Das Befehlsergebnis ist unbestätigt. Bis zur Prüfung sind weitere Betriebshandlungen gesperrt.
Connection lost. Showing the last confirmed server state. Actions are blocked.|Anslutningen bröts. Senast bekräftade serverläge visas. Åtgärder är spärrade.|Forbindelsen er afbrudt. Senest bekræftede servertilstand vises. Handlinger er spærret.|Forbindelsen ble brutt. Sist bekreftede servertilstand vises. Handlinger er sperret.|Verbindung unterbrochen. Der letzte bestätigte Serverstand wird angezeigt. Aktionen sind gesperrt.
Wait for a confirmed connection and command result|Invänta bekräftad anslutning och kommandoresultat|Vent på bekræftet forbindelse og kommandoresultat|Vent på bekreftet tilkobling og kommandoresultat|Bestätigte Verbindung und Befehlsergebnis abwarten
Saved and confirmed by the server.|Sparat och bekräftat av servern.|Gemt og bekræftet af serveren.|Lagret og bekreftet av serveren.|Vom Server gespeichert und bestätigt.
Join your local session|Anslut till ditt lokala trafikpass|Deltag i din lokale session|Koble til din lokale økt|Lokaler Sitzung beitreten
Sign in to dispatch|Logga in som dispatcher|Log ind som dispatcher|Logg inn som dispatcher|Als Dispatcher anmelden
Ask the dispatcher for a one-time connection code. The dispatcher assigns your train after you connect.|Be dispatchern om en engångskod. Dispatchern tilldelar ditt tåg när du har anslutit.|Bed dispatcheren om en engangskode. Dispatcheren tildeler dit tog, når du er tilsluttet.|Be dispatcheren om en engangskode. Dispatcheren tildeler toget ditt når du er tilkoblet.|Bitte den Dispatcher um einen Einmalcode. Nach der Verbindung weist er dir deinen Zug zu.
Use your existing TrainMeet Server administrator account. No Cloud connection is needed.|Använd ditt befintliga administratörskonto på TrainMeet Server. Ingen Cloud-anslutning behövs.|Brug din eksisterende administratorkonto på TrainMeet Server. Ingen Cloud-forbindelse kræves.|Bruk din eksisterende administratorkonto på TrainMeet Server. Ingen Cloud-tilkobling trengs.|Verwende dein vorhandenes Administratorkonto auf TrainMeet Server. Keine Cloud-Verbindung erforderlich.
First installation?|Första installationen?|Første installation?|Første installasjon?|Erstinstallation?
Open Server setup|Öppna serverinstallationen|Åbn serveropsætning|Åpne serveroppsett|Server-Einrichtung öffnen
Close dialog|Stäng dialog|Luk dialog|Lukk dialog|Dialog schließen
Session complete|Trafikpass avslutat|Session afsluttet|Økt avsluttet|Sitzung beendet
Local-first operations|Lokal drift utan Cloud-beroende|Lokal drift uden Cloud-afhængighed|Lokal drift uten Cloud-avhengighet|Lokaler Betrieb ohne Cloud-Abhängigkeit
Session safely closed|Trafikpass säkert avslutat|Session sikkert afsluttet|Økt trygt avsluttet|Sitzung sicher beendet
Start a US session|Starta ett US-trafikpass|Start en US-session|Start en US-økt|US-Sitzung starten
Import US package|Importera US-paket|Importer US-pakke|Importer US-pakke|US-Paket importieren
Under authority|Har körtillstånd|Har køretilladelse|Har kjøretillatelse|Mit Fahrberechtigung
Awaiting authority|Inväntar körtillstånd|Afventer køretilladelse|Venter på kjøretillatelse|Wartet auf Fahrberechtigung
Ready to copy|Redo att ta emot|Klar til at modtage|Klar til å motta|Bereit zum Empfang
Not started|Inte startat|Ikke startet|Ikke startet|Nicht begonnen
No position reported|Ingen position rapporterad|Ingen position rapporteret|Ingen posisjon rapportert|Keine Position gemeldet
Extra train|Extratåg|Ekstratog|Ekstratog|Sonderzug
No warrants|Inga körorder|Ingen kørselsordrer|Ingen kjøreordrer|Keine Fahrbefehle
Conductor not assigned|Conductor inte tilldelad|Conductor ikke tildelt|Conductor ikke tildelt|Conductor nicht zugewiesen
Transmit|Skicka|Send|Send|Senden
Verify & activate|Kontrollera och aktivera|Kontrollér og aktivér|Kontroller og aktiver|Prüfen und aktivieren
Confirm release|Bekräfta frigivning|Bekræft frigivelse|Bekreft frigivelse|Freigabe bestätigen
Acknowledge receipt|Bekräfta mottagning|Bekræft modtagelse|Bekreft mottak|Empfang bestätigen
Report readback|Rapportera återläsning|Rapportér gentagelse|Rapporter tilbakelesning|Rücklesen melden
Report released|Rapportera frigivet|Rapportér frigivet|Rapporter frigitt|Freigabe melden
Work between limits|Arbeta inom gränserna|Arbejd inden for grænserne|Arbeid innenfor grensene|Innerhalb der Grenzen arbeiten
Proceed|Kör|Kør|Kjør|Fahren
Not authority to move.|Ger inte tillstånd att köra.|Giver ikke tilladelse til at køre.|Gir ikke tillatelse til å kjøre.|Keine Fahrberechtigung.
Still holds track limits until dispatcher closes.|Spårgränserna hålls tills dispatchern avslutar.|Sporgrænserne holdes, indtil dispatcheren afslutter.|Sporgrensene holdes til dispatcheren avslutter.|Die Gleisgrenzen bleiben bis zum Abschluss durch den Dispatcher belegt.
Dispatcher desk · TWC|Dispatcherbord · TWC|Dispatcherbord · TWC|Dispatcherbord · TWC|Dispatcher-Arbeitsplatz · TWC
Connect conductor|Anslut conductor|Tilslut conductor|Koble til conductor|Conductor verbinden
+ Extra train|+ Extratåg|+ Ekstratog|+ Ekstratog|+ Sonderzug
Finish session|Avsluta trafikpasset|Afslut session|Avslutt økt|Sitzung beenden
All trains|Alla tåg|Alle tog|Alle tog|Alle Züge
All train runs|Alla tåguppdrag|Alle togkørsler|Alle togoppdrag|Alle Zugfahrten
Train details|Tåguppgifter|Togoplysninger|Togopplysninger|Zugdetails
Assign|Tilldela|Tildel|Tildel|Zuweisen
Track diagram|Spårdiagram|Spordiagram|Spordiagram|Gleisplan
The railroad|Banan|Banen|Banen|Die Strecke
Reported positions · mileposts|Rapporterade positioner · mileposts|Rapporterede positioner · mileposts|Rapporterte posisjoner · mileposts|Gemeldete Positionen · Mileposts
Active limits|Aktiva gränser|Aktive grænser|Aktive grenser|Aktive Grenzen
Proposed · not valid|Föreslaget · inte giltigt|Foreslået · ikke gyldigt|Foreslått · ikke gyldig|Vorgeschlagen · nicht gültig
Track warrants|Körorder (Track Warrants)|Kørselsordrer (Track Warrants)|Kjøreordrer (Track Warrants)|Fahrbefehle (Track Warrants)
Warrants|Körorder|Kørselsordrer|Kjøreordrer|Fahrbefehle
+ Draft|+ Utkast|+ Kladde|+ Utkast|+ Entwurf
Nothing waiting.|Inget väntar.|Intet venter.|Ingenting venter.|Nichts ausstehend.
No active authorities.|Inga aktiva körtillstånd.|Ingen aktive køretilladelser.|Ingen aktive kjøretillatelser.|Keine aktiven Fahrberechtigungen.
Hide|Dölj|Skjul|Skjul|Ausblenden
Show|Visa|Vis|Vis|Anzeigen
History|Historik|Historik|Historikk|Verlauf
Your warrants|Dina körorder|Dine kørselsordrer|Dine kjøreordrer|Deine Fahrbefehle
Timetable & work|Tidtabell och arbete|Køreplan og arbejde|Rutetabell og arbeid|Fahrplan und Arbeit
Reports & confirmations|Rapporter och bekräftelser|Rapporter og bekræftelser|Rapporter og bekreftelser|Meldungen und Bestätigungen
Report|Rapportera|Rapportér|Rapporter|Melden
Request authority|Begär körtillstånd|Anmod om køretilladelse|Be om kjøretillatelse|Fahrberechtigung anfordern
Ready reported|Redo rapporterat|Klar rapporteret|Klar rapportert|Bereitschaft gemeldet
Locomotive not specified|Lok inte angivet|Lokomotiv ikke angivet|Lokomotiv ikke angitt|Lok nicht angegeben
No reports yet.|Inga rapporter ännu.|Ingen rapporter endnu.|Ingen rapporter ennå.|Noch keine Meldungen.
Track segment|Spåravsnitt|Sporafsnit|Sporavsnitt|Gleisabschnitt
From MP|Från MP|Fra MP|Fra MP|Von MP
To MP|Till MP|Til MP|Til MP|Bis MP
Remove segment|Ta bort avsnitt|Fjern afsnit|Fjern avsnitt|Abschnitt entfernen
Recent operations|Senaste åtgärder|Seneste handlinger|Siste handlinger|Letzte Vorgänge
Activate a reviewed US package|Aktivera ett granskat US-paket|Aktivér en gennemgået US-pakke|Aktiver en gjennomgått US-pakke|Geprüftes US-Paket aktivieren
Runtime JSON file|Driftpaket som JSON|Driftspakke som JSON|Driftspakke som JSON|JSON-Betriebspaket
Start US session|Starta US-trafikpass|Start US-session|Start US-økt|US-Sitzung starten
Package is too large|Paketet är för stort|Pakken er for stor|Pakken er for stor|Paket ist zu groß
Connect a conductor|Anslut en conductor|Tilslut en conductor|Koble til en conductor|Conductor verbinden
Connected conductor|Ansluten conductor|Tilsluttet conductor|Tilkoblet conductor|Verbundener Conductor
Choose a conductor|Välj en conductor|Vælg en conductor|Velg en conductor|Conductor auswählen
Assign train|Tilldela tåg|Tildel tog|Tildel tog|Zug zuweisen
Add an extra train|Lägg till extratåg|Tilføj ekstratog|Legg til ekstratog|Sonderzug hinzufügen
Train symbol|Tågbeteckning|Togbetegnelse|Togbetegnelse|Zugbezeichnung
East|Öst|Øst|Øst|Ost
West|Väst|Vest|Vest|West
Add train|Lägg till tåg|Tilføj tog|Legg til tog|Zug hinzufügen
Authority type|Typ av körtillstånd|Type køretilladelse|Type kjøretillatelse|Art der Fahrberechtigung
Proceed from / to|Kör från / till|Kør fra / til|Kjør fra / til|Fahren von / bis
Work between / and|Arbeta mellan / och|Arbejd mellem / og|Arbeid mellom / og|Arbeiten zwischen / und
+ Track segment|+ Spåravsnitt|+ Sporafsnit|+ Sporavsnitt|+ Gleisabschnitt
Additional information|Ytterligare information|Yderligere oplysninger|Tilleggsinformasjon|Zusätzliche Informationen
Save draft for review|Spara utkast för granskning|Gem kladde til gennemgang|Lagre utkast for gjennomgang|Entwurf zur Prüfung speichern
Report type|Rapporttyp|Rapporttype|Rapporttype|Meldungstyp
Position|Position|Position|Posisjon|Position
Request new authority|Begär nytt körtillstånd|Anmod om ny køretilladelse|Be om ny kjøretillatelse|Neue Fahrberechtigung anfordern
Delay|Försening|Forsinkelse|Forsinkelse|Verspätung
Problem|Problem|Problem|Problem|Problem
Reported MP|Rapporterad MP|Rapporteret MP|Rapportert MP|Gemeldeter MP
Report / uncertainty|Rapport / osäkerhet|Rapport / usikkerhed|Rapport / usikkerhet|Meldung / Unsicherheit
Send report|Skicka rapport|Send rapport|Send rapport|Meldung senden
Transmit warrant|Skicka körorder|Send kørselsordre|Send kjøreordre|Fahrbefehl senden
Verify readback & activate|Kontrollera återläsning och aktivera|Kontrollér gentagelse og aktivér|Kontroller tilbakelesning og aktiver|Rücklesen prüfen und aktivieren
Report authority released|Rapportera körtillstånd frigivet|Rapportér køretilladelse frigivet|Rapporter kjøretillatelse frigitt|Freigabe der Fahrberechtigung melden
Void unissued authority|Ogiltigförklara ej aktiverat tillstånd|Annuller ikke-aktiveret tilladelse|Annuller ikke-aktivert tillatelse|Nicht aktivierte Berechtigung ungültig erklären
Finish US session|Avsluta US-trafikpass|Afslut US-session|Avslutt US-økt|US-Sitzung beenden
# Terminal onboarding and shift lifecycle
Connect the terminal to its station|Koppla terminalen till stationen|Forbind terminalen til stationen|Koble terminalen til stasjonen|Terminal mit der Betriebsstelle verbinden
Your choice is saved on this device. After restarting, TKL opens at the selected station.|Valet sparas i apparaten. Efter nästa omstart öppnas TKL-vyn direkt på den valda stationen.|Valget gemmes på enheden. Efter genstart åbner TKL ved den valgte station.|Valget lagres på enheten. Etter omstart åpnes TKL ved den valgte stasjonen.|Die Auswahl wird auf diesem Gerät gespeichert. Nach dem Neustart öffnet sich TKL an der gewählten Betriebsstelle.
Setup steps|Installationens steg|Opsætningens trin|Oppsettets trinn|Einrichtungsschritte
Wi-Fi and network|Wi-Fi och nätverk|Wi-Fi og netværk|Wi-Fi og nettverk|WLAN und Netzwerk
Scan for Wi-Fi|Sök Wi-Fi|Søg efter Wi-Fi|Søk etter Wi-Fi|WLAN suchen
Choose Wi-Fi …|Välj Wi-Fi …|Vælg Wi-Fi …|Velg Wi-Fi …|WLAN auswählen …
Wi-Fi password|Wi-Fi-lösenord|Wi-Fi-adgangskode|Wi-Fi-passord|WLAN-Passwort
Search the network automatically|Sök automatiskt på nätverket|Søg automatisk på netværket|Søk automatisk på nettverket|Automatisch im Netzwerk suchen
Connection code, for example 123-456|Anslutningskod, exempelvis 123-456|Forbindelseskode, f.eks. 123-456|Tilkoblingskode, f.eks. 123-456|Verbindungscode, z. B. 123-456
Terminal name|Terminalens namn|Terminalens navn|Terminalens navn|Terminalname
Display|Skärm|Skærm|Skjerm|Bildschirm
No connection to TrainMeet Server|Ingen kontakt med TrainMeet Server|Ingen forbindelse til TrainMeet Server|Ingen forbindelse til TrainMeet Server|Keine Verbindung zu TrainMeet Server
No operational actions are available until the server responds.|Inga trafikåtgärder kan utföras innan servern svarar.|Ingen driftshandlinger er mulige, før serveren svarer.|Ingen driftshandlinger er mulige før serveren svarer.|Bis der Server antwortet, sind keine Betriebshandlungen möglich.
Enter the address of TrainMeet Server on the local network.|Ange adressen till TrainMeet Server på det lokala nätverket.|Angiv adressen på TrainMeet Server på det lokale netværk.|Angi adressen til TrainMeet Server på det lokale nettverket.|Gib die Adresse von TrainMeet Server im lokalen Netzwerk ein.
